代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14442820.000000000000
真實報酬,4442820.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17968.894777795002
風險,415114.784954566510
起點值,0.043286568990
找到最佳解世代,1344
找到最佳解實驗#,2
找到最佳解次數,43

投資組合檔數,4
2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
Stock#,2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
張數,37,184,41,27,
FS( 204 ),3733209.999999999500,3313279.999999999500,4576240.000000000000,2501890.000000000000,14124620.000000000000
FS( 205 ),3690659.999999999100,3342720.000000000000,4559430.000000001900,2513230.000000000000,14106040.000000000000
FS( 206 ),3747639.999999999500,3366640.000000000000,4542620.000000000000,2636890.000000000000,14293790.000000000000
FS( 207 ),3719149.999999999500,3412640.000000000000,4441760.000000000000,2816710.000000000000,14390260.000000000000
FS( 208 ),3747639.999999999500,3397920.000000000000,4542620.000000000000,2749480.000000000000,14437660.000000000000
FS( 209 ),3761699.999999999500,3374000.000000000500,4458570.000000000000,2828050.000000000000,14422320.000000000000
FS( 210 ),3776129.999999999500,3405279.999999999500,4559430.000000001900,2805640.000000000000,14546480.000000000000
FS( 211 ),3776129.999999999500,3535920.000000000000,4458570.000000000000,2726800.000000000000,14497420.000000000000
FS( 212 ),3690659.999999999100,3589279.999999999500,4509000.000000000000,2805640.000000000000,14594579.999999998000
FS( 213 ),3704719.999999999100,3535920.000000000000,4542620.000000000000,2749480.000000000000,14532740.000000000000
FS( 214 ),3690659.999999999100,3458640.000000000000,4424950.000000000000,2726800.000000000000,14301050.000000000000
FS( 215 ),3690659.999999999100,3427360.000000000000,4256440.000000000000,2603140.000000000000,13977600.000000000000
FS( 216 ),3690659.999999999100,3443920.000000000000,4290060.000000000000,2614480.000000000000,14039120.000000000000
FS( 217 ),3647739.999999999500,3434720.000000000000,4441760.000000000000,2603140.000000000000,14127360.000000000000
FS( 218 ),3704719.999999999100,3458640.000000000000,4441760.000000000000,2648230.000000000000,14253350.000000000000
FS( 219 ),3733209.999999999500,3473360.000000000000,4290060.000000000000,2603140.000000000000,14099770.000000000000
FS( 220 ),3676229.999999999500,3427360.000000000000,4189200.000000000500,2603140.000000000000,13895930.000000000000
FS( 221 ),3548209.999999999500,3427360.000000000000,4037500.000000000000,2648230.000000000000,13661300.000000000000
FS( 222 ),3662169.999999999500,3489920.000000000000,4105150.000000000900,2625550.000000000000,13882790.000000000000
FS( 223 ),3605189.999999999500,3581920.000000000000,4189200.000000000500,2625550.000000000000,14001860.000000000000
