代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13353851.322749998000
真實報酬,3353851.322749998400

夏普值報酬,0.326685132275
夏普值風險,0.075144796512
夏普值,4.347408569062

預期報酬,12521.176600303364
風險,142903.070057433330
起點值,0.087620067191
找到最佳解世代,4104
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,12
1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
Stock#,1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
張數,11,15,11,4,12,3,23,3,57,24,85,58,
FS( 82 ),934079.860499999950,937106.671249999900,985386.995499999960,871098.247999999910,984395.542999999830,891593.953250000020,938303.556750000110,882685.292750000020,865998.189499999980,964086.386000000290,970662.867499999820,895524.370000000110,11120925.934000000000
FS( 83 ),929918.356999999840,925906.452499999900,986372.614749999830,876593.821999999930,976391.120000000000,887382.671000000090,932579.000500000080,871096.799750000010,868835.578250000140,960502.316000000220,967277.912499999740,887440.301000000090,11070300.945250001000
FS( 84 ),925756.853499999970,920231.675000000050,982320.624500000150,867434.532000000120,953333.602999999890,883171.388749999930,912657.544749999880,829073.579000000030,865998.189499999980,947838.602000000190,958815.524999999790,887440.301000000090,10934076.418000001000
FS( 85 ),928823.224499999890,913212.871249999970,981225.491999999970,861899.135000000010,943059.268999999740,880363.867249999890,917008.207500000020,817485.086000000010,863728.278500000130,937564.268000000160,934274.601249999950,885130.567000000040,10863778.867249999000
FS( 86 ),931999.108749999900,920231.675000000050,986372.614749999830,858235.418999999990,946523.870000000000,876182.452250000090,915863.296249999900,810257.211500000090,865998.189499999980,951422.672000000140,954584.331249999930,890327.468500000080,10908002.308750000000
FS( 87 ),935065.479749999710,924413.089999999970,994695.621749999930,863770.815999999880,963727.405999999840,884575.149500000060,917008.207500000020,830537.074250000060,871672.966999999950,958351.874000000190,963046.718749999880,890327.468500000080,10997195.872999998000
FS( 88 ),943388.486749999920,934269.282499999970,1008056.238249999900,867434.532000000120,957992.893999999740,890190.192499999890,920442.941250000030,840662.072000000040,873942.878000000030,959307.626000000050,963046.718749999880,898411.537499999980,11057149.399499999000
FS( 89 ),921595.349999999980,918887.648749999930,980239.872749999860,852739.844999999970,928125.643999999740,869163.648499999890,881515.958749999870,807360.088250000030,865998.189499999980,921555.422000000140,930043.407499999860,885130.567000000040,10762359.641999999000
FS( 90 ),944483.619249999870,941288.086249999930,1009041.857500000000,860067.277000000000,940789.357999999890,883171.388749999930,921587.852499999920,823279.332500000020,871672.966999999950,975555.410000000030,963046.718749999880,895524.370000000110,11029512.237500001000
FS( 91 ),929918.356999999840,923069.063749999970,997761.992750000090,854571.702999999980,911997.328999999910,852318.519499999940,900292.503249999950,792874.472000000070,863728.278500000130,1028121.770000000100,946121.943749999740,885130.567000000040,10885910.499499999000
FS( 92 ),930903.976249999950,913212.871249999970,996666.860249999910,852739.844999999970,911997.328999999910,852318.519499999940,899376.574250000060,784183.102250000000,863728.278500000130,1078776.625999999900,954584.331249999930,887440.301000000090,10925932.614500001000
FS( 93 ),929918.356999999840,920231.675000000050,990534.118250000170,856403.560999999990,911997.328999999910,848107.237250000010,889301.355250000140,785616.730250000020,865998.189499999980,1054643.888000000000,946121.943749999740,885130.567000000040,10884008.951250000000
FS( 94 ),935065.479749999710,930087.867499999930,1007070.618999999900,856403.560999999990,911997.328999999910,848107.237250000010,892507.106750000150,782719.606999999960,868835.578250000140,1067307.602000000200,946121.943749999740,887440.301000000090,10933668.232250001000
FS( 95 ),942402.867499999820,939944.059999999940,1008056.238249999900,861899.135000000010,930395.554999999930,848107.237250000010,894796.929249999930,784183.102250000000,871672.966999999950,1053449.198000000100,950353.137499999840,895524.370000000110,10980788.796999998000
FS( 96 ),937146.231499999880,932925.256249999980,992614.870000000000,861899.135000000010,933860.155999999840,853722.280250000070,913802.456000000120,801565.841749999910,863728.278500000130,1056794.330000000300,938505.794999999810,890327.468500000080,10976896.098749999000
FS( 97 ),944483.619249999870,928594.504999999890,997761.992750000090,860067.277000000000,933860.155999999840,859337.323249999900,919298.030000000030,811690.839500000000,868835.578250000140,1071847.424000000100,950353.137499999840,893214.636000000060,11039348.518500000000
FS( 98 ),961129.633250000070,942781.448749999980,1016269.732000000000,865602.673999999880,937324.756999999980,869163.648499999890,927083.426500000060,818948.581250000050,873942.878000000030,1067307.602000000200,958815.524999999790,900721.271499999920,11139095.177750001000
